filepath,Particle Number,Diffusion Coefficient,residual
Z:/_Data/_D118_LSM980/20251014_Dom/GUV_MA/Experiment-2137_RICScorr.tif,5.430540021997891,20.899066249150742,7.931031551714884e-11
filepath,Particle Number,Diffusion Coefficient,residual
Z:/_Data/_D118_LSM980/20251014_Dom/GUV_empty/Experiment-2109_RICScorr.tif,2.9186597180335037,22.71949602968844,4.0132935574799505e-10
filepath,Particle Number,Diffusion Coefficient,residual
X:/Qutbuddin_Yusuf/_Data/RICS_simulations/Membrane_0.08molpercent/Sim_RICScorr.tif,15.07179306949658,4.4610500368561965,-3.9197405077192856e-10
filepath,Particle Number,Diffusion Coefficient,residual
X:/Qutbuddin_Yusuf/_Data/RICS_simulations/Membrane_0.08molpercent/Sim_RICScorr.tif,15.66147964582478,4.515353924398703,3.3259570360273443e-11
filepath,Particle Number,Diffusion Coefficient,residual
X:/Qutbuddin_Yusuf/_Data/RICS_simulations/Sim_RICScorr.tif,59.21037706471827,12.588171916086639,-1.6059193934545252e-10
filepath,Particle Number,Diffusion Coefficient,residual
X:/Qutbuddin_Yusuf/_Data/RICS_simulations/Sim_RICScorr.tif,57.575312859540375,11.534916113619746,-4.071548010297604e-09
filepath,Particle Number,Diffusion Coefficient,residual
D:/_Data/20251010_Adam/DNA_before_transcription/RICS_1_RICScorr.tif,6.776087741418511,3.898116781354949,-7.646172697646752e-11
